Company Name,Founded Year,HQ,Industry,Total Funding(USD),Annual Recurring Revenue(USD),Valuation(USD),Employees,Top Investors,Product,Rating,Rating_num,founded_year_clean,era,arr_per_dollar
Microsoft,1975-01-01,"Redmond, WA, USA",Enterprise Software,1000000000.0,270000000000,3000000000000,221000,"Bill Gates, Paul Allen","Azure, Office 365, Teams",4.4,4.4,1975,Before 2000,
Salesforce,1999-01-01,"San Francisco, CA, USA",CRM,65400000.0,37900000000,227800000000,75000,"Halsey Minor, Larry Ellison","Sales Cloud, Service Cloud",4.3,4.3,1999,Before 2000,
Adobe,1982-01-01,"San Jose, CA, USA",Creative Software,2500000.0,19400000000,240000000000,29945,Hambrecht & Quist,"Creative Cloud, Document Cloud",4.5,4.5,1982,Before 2000,
Oracle,1977-01-01,"Austin, TX, USA",Database & Enterprise,2000.0,52900000000,350000000000,143000,"Larry Ellison, Bob Miner","Oracle Cloud, NetSuite",4.0,4.0,1977,Before 2000,
SAP,1972-01-01,"Walldorf, Germany",Enterprise Software,,32500000000,215000000000,107415,"Dietmar Hopp, Klaus Tschira","S/4HANA, SuccessFactors",4.1,4.1,1972,Before 2000,
Intuit,1983-01-01,"Mountain View, CA, USA",Financial Software,273000000.0,14400000000,180000000000,18200,"Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4,4.4,1983,Before 2000,
ServiceNow,2004-01-01,"Santa Clara, CA, USA",IT Service Management,82500000.0,8900000000,147000000000,20000,"JMI Equity, Sequoia Capital",IT Service Management Platform,4.4,4.4,2004,2000–2009,
Workday,2005-01-01,"Pleasanton, CA, USA",HR & Finance,249900000.0,7300000000,65000000000,18800,"Greylock Partners, NEA","HCM, Financial Management",4.2,4.2,2005,2000–2009,
Zoom,2011-01-01,"San Jose, CA, USA",Video Communications,145500000.0,4500000000,85000000000,7388,"Sequoia Capital, Emergence",Video Conferencing Platform,4.5,4.5,2011,2010–2019,
Shopify,2006-01-01,"Ottawa, Canada",E-commerce,122300000.0,7100000000,95000000000,11600,"Bessemer, FirstMark, Felicis",E-commerce Platform,4.4,4.4,2006,2000–2009,
Atlassian,2002-01-01,"Sydney, Australia",Collaboration Software,60000000.0,3500000000,55000000000,11800,Accel Partners,"Jira, Confluence, Trello",4.3,4.3,2002,2000–2009,
Snowflake,2012-01-01,"Bozeman, MT, USA",Data Warehousing,1400000000.0,2800000000,75000000000,6500,"Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4,4.4,2012,2010–2019,
HubSpot,2006-01-01,"Cambridge, MA, USA",Marketing & Sales,100500000.0,2200000000,32000000000,7600,"General Catalyst, Google Ventures","Marketing Hub, Sales Hub",4.4,4.4,2006,2000–2009,
DocuSign,2003-01-01,"San Francisco, CA, USA",Digital Agreements,514300000.0,2500000000,10000000000,7336,"Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5,4.5,2003,2000–2009,
Slack,2009-01-01,"San Francisco, CA, USA",Team Communication,1400000000.0,1700000000,27700000000,2545,"Accel, Andreessen Horowitz",Team Messaging Platform,4.5,4.5,2009,2000–2009,
Notion,2013-01-01,"San Francisco, CA, USA",Productivity,353000000.0,400000000,10000000000,800,"Index Ventures, Sequoia",All-in-one workspace,4.7,4.7,2013,2010–2019,
Datadog,2010-01-01,"New York, NY, USA",Monitoring & Analytics,147900000.0,2100000000,44000000000,5200,"ICONIQ, Index Ventures",Infrastructure Monitoring,4.4,4.4,2010,2010–2019,
MongoDB,2007-01-01,"New York, NY, USA",Database,311200000.0,1700000000,26000000000,4500,"Sequoia, NEA, USV",Document Database Platform,4.5,4.5,2007,2000–2009,
Okta,2009-01-01,"San Francisco, CA, USA",Identity Management,230500000.0,2200000000,25000000000,5900,"Andreessen Horowitz, Greylock",Identity & Access Management,4.4,4.4,2009,2000–2009,
Twilio,2008-01-01,"San Francisco, CA, USA",Communications,261300000.0,4100000000,12000000000,7867,"Bessemer, Union Square",Communications APIs,4.3,4.3,2008,2000–2009,
Stripe,2010-01-01,"San Francisco, CA, USA",Payments,8700000000.0,14000000000,65000000000,800,"Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4,4.4,2010,2010–2019,
Square,2009-01-01,"San Francisco, CA, USA",Payments,590500000.0,19700000000,85000000000,8500,"Khosla Ventures, Sequoia",Payment & POS Solutions,4.2,4.2,2009,2000–2009,
Palantir,2003-01-01,"Denver, CO, USA",Data Analytics,2600000000.0,2200000000,52000000000,3500,"Founders Fund, In-Q-Tel",Data Integration Platform,4.0,4.0,2003,2000–2009,
Canva,2013-01-01,"Sydney, Australia",Design,572600000.0,2000000000,40000000000,3500,"Sequoia, Bessemer, Bond",Design Platform,4.7,4.7,2013,2010–2019,
Monday.com,2012-01-01,"Tel Aviv, Israel",Work Management,234100000.0,736000000,14000000000,1900,"Sapphire Ventures, Insight",Work OS Platform,4.6,4.6,2012,2010–2019,
Asana,2008-01-01,"San Francisco, CA, USA",Work Management,453200000.0,652000000,5500000000,1600,"Benchmark, Founders Fund",Work Management Platform,4.3,4.3,2008,2000–2009,
Airtable,2012-01-01,"San Francisco, CA, USA",Database/Spreadsheet,735100000.0,500000000,11000000000,900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6,4.6,2012,2010–2019,
Figma,2012-01-01,"San Francisco, CA, USA",Design,332900000.0,600000000,20000000000,1300,"Index Ventures, Greylock",Collaborative Design Tool,4.7,4.7,2012,2010–2019,
